rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
97.5,0.5261028400000001,4.68,2036,58,1740,119671,0.0001,0.037461817264556885,29667,,
101.48,0.5222220399999999,4.85,2054,58,1750,120651,0.0001,0.2964847683906555,29912,,
104.9,0.5184244,4.93,2071,58,1760,121610,0.0001,0.3117423355579376,30152,,
105.03,0.51423472,5.16,2089,58,1770,122668,0.0001,0.6545836925506592,30416,,
105.55,0.51055588,5.29,2106,58,1780,123597,0.0001,0.06570149213075638,30649,,
102.98,0.5075264800000001,5.27,2120,58,1790,124362,0.0001,0.08867455273866653,30840,,
95.51,0.50408128,5.2,2134,58,1800,125232,0.0001,0.11663734912872314,31057,,
98.35,0.49909168000000004,5.39,2161,58,1810,126492,0.0001,0.03838575631380081,31372,,
90.46,0.4981412799999999,5.06,2166,58,1820,126732,0.0001,0.016859736293554306,31432,,
94.46,0.4936427200000001,5.14,2187,58,1830,127868,0.0001,0.42734530568122864,31716,,
89.81,0.4905380800000001,4.89,2200,58,1840,128652,0.0001,0.28102657198905945,31912,,
85.54,0.4883481999999999,4.75,2211,58,1850,129205,0.0001,0.02933550253510475,32051,,
85.62,0.48451888,4.86,2228,58,1860,130172,0.0001,0.4334968030452728,32292,,
85.6,0.48033711999999995,4.72,2247,58,1870,131228,0.0001,0.04823929816484451,32556,,
87.42,0.4759375600000001,4.65,2268,58,1880,132339,0.0001,0.0481000579893589,32834,,
91.69,0.47121724,4.86,2289,58,1890,133531,0.0001,0.022092118859291077,33132,,
89.15,0.46877788,4.65,2302,58,1900,134147,0.0001,0.3491591513156891,33286,,
84.38,0.4656772,4.43,2315,58,1910,134930,0.0001,0.036554593592882156,33482,,
95.32,0.46039456,4.8,2339,58,1920,136264,0.0001,0.4963948726654053,33815,,
93.45,0.4566365199999999,4.94,2357,58,1930,137213,0.0001,0.3747347891330719,34053,,
92.33,0.4539753999999999,5.02,2369,58,1940,137885,0.0001,0.0561806857585907,34221,,
92.26,0.4518132400000001,5.03,2379,58,1950,138431,0.0001,0.27561232447624207,34357,,
92.19,0.44801164000000004,4.97,2397,58,1960,139391,0.0001,0.019522249698638916,34597,,
92.3,0.44378632000000007,4.88,2416,58,1970,140458,0.0001,0.013833306729793549,34864,,
92.31,0.4393828000000001,5.2,2436,58,1980,141570,0.0001,0.03159584477543831,35142,,
89.22,0.43588612000000004,5.17,2452,58,1990,142453,0.0001,0.5556209087371826,35363,,
90.56,0.4329161200000001,5.2,2465,58,2000,143203,0.0001,0.1426343470811844,35550,,
93.33,0.4287185199999999,5.49,2483,58,2010,144263,0.0001,0.3198838531970978,35815,,
